,name,cafeteria_id,category,portion_volume,portion_weight,calories,total_fat,saturated_fat,carbohydrate,sugar,protein,fiber,sodium,potassium,station,cholesterol,calcium,iron,vitamin_d,vitamin_c,vitamin_a,pk,school
124,Lemon Rosemary Chicken Thigh,16856.71,protein,236.588,113.4,160,7,2.0,0.0,0.0,21.0,0.0,115,230.0,HOMESTYLE,115.0,10.0,1.0,5.0,0.0,0.0,1124,10
125,Lo Mein Noodles with Vegetables,5401.9,grain,118.294,53.6,110,1.5,0.0,20.0,1.0,3.0,1.0,230,60.0,HOMESTYLE,0.0,10.0,0.4,0.0,3.0,0.0,1125,10
126,Meatballs in Marinara,129192.4,protein,473.176,269.32,230,9,3.0,27.0,5.0,11.0,4.0,420,380.0,HOMESTYLE,20.0,60.0,2.9,0.0,16.0,120.0,1126,10
127,Meatloaf,19368.53,protein,354.882,145.38,290,12,4.5,28.0,20.0,18.0,1.0,820,400.0,HOMESTYLE,55.0,50.0,2.4,0.0,4.0,0.0,1127,10
128,Mediterranean Wheat Couscous,8248,grain,118.294,109.22,80,2.5,0.0,13.0,1.0,2.0,2.0,160,90.0,HOMESTYLE,0.0,10.0,0.2,0.0,17.0,15.0,1128,10
129,Mongolian Beef,10895.16,protein,236.588,286.55,450,28,4.5,21.0,8.0,27.0,3.0,590,700.0,HOMESTYLE,65.0,60.0,2.5,0.0,55.0,0.0,1129,10
130,Parmesan Cauliflower,102199,vegetable,118.294,177.25,270,21,13.0,17.0,3.0,6.0,3.0,560,410.0,HOMESTYLE,55.0,80.0,1.2,0.0,61.0,110.0,1130,10
131,Parmesan Roasted Carrots,4489.5,vegetable,118.294,88.95,80,4.5,3.0,9.0,4.0,2.0,2.0,140,270.0,HOMESTYLE,10.0,50.0,0.3,0.0,5.0,0.0,1131,10
132,Penne Pasta,12946.2,grain,236.588,113.4,180,1,0.0,35.0,1.0,7.0,2.0,0,50.0,HOMESTYLE,0.0,10.0,1.5,0.0,0.0,0.0,1132,10
133,Pigeon Peas & Brown Rice,103697,grain,118.294,183.92,150,3.5,0.5,25.0,1.0,4.0,2.0,230,130.0,HOMESTYLE,5.0,10.0,0.7,0.0,8.0,5.0,1133,10
134,Portobello and White Bean Ragout,103494,protein,236.588,219.52,150,6,0.5,20.0,4.0,7.0,8.0,160,650.0,HOMESTYLE,0.0,120.0,2.5,5.0,30.0,70.0,1134,10
135,Roast Pork Loin,25091.8,protein,118.294,54.2,80,4.5,2.0,0.0,0.0,10.0,0.0,210,230.0,HOMESTYLE,25.0,0.0,0.3,5.0,0.0,0.0,1135,10
136,Roasted Corn,102289,vegetable,118.294,126.47,110,3,0.0,20.0,4.0,3.0,3.0,750,300.0,HOMESTYLE,0.0,30.0,1.4,0.0,25.0,10.0,1136,10
137,Roasted Vegetable Medley,103816,vegetable,118.294,218.06,50,0.5,0.0,11.0,6.0,3.0,3.0,190,580.0,HOMESTYLE,0.0,60.0,1.0,0.0,60.0,30.0,1137,10
138,Roasted Yellow Squash,8060.6,vegetable,118.294,93.35,40,2.5,0.0,4.0,3.0,1.0,1.0,0,200.0,HOMESTYLE,0.0,20.0,0.4,0.0,18.0,0.0,1138,10
139,Sausage Breakfast Totchos,139524,protein,709.764,340.19,700,52,17.0,40.0,5.0,16.0,3.0,2700,540.0,HOMESTYLE,230.0,150.0,1.5,40.0,3.0,70.0,1139,10
140,Sauteed Mushrooms,102288,vegetable,236.588,113.4,70,6,0.0,4.0,2.0,3.0,1.0,190,300.0,HOMESTYLE,0.0,10.0,0.5,5.0,2.0,0.0,1140,10
141,Sauteed Spinach,8621,vegetable,118.294,97.33,50,3.5,0.0,4.0,1.0,3.0,2.0,230,500.0,HOMESTYLE,0.0,90.0,2.4,0.0,25.0,0.0,1141,10
142,Scallion Potatoes,8965,grain,118.294,128.75,160,9,5.0,20.0,2.0,2.0,2.0,300,360.0,HOMESTYLE,25.0,40.0,0.5,5.0,9.0,30.0,1142,10
143,Shrimp Piri Piri,51287.3,protein,236.588,113.4,160,7,0.5,1.0,0.0,24.0,0.0,320,290.0,HOMESTYLE,190.0,70.0,0.7,0.0,2.0,0.0,1143,10
144,Spicy Braised Greens,123072,vegetable,118.294,76.4,30,1.5,0.0,3.0,1.0,1.0,2.0,55,130.0,HOMESTYLE,0.0,100.0,0.4,0.0,27.0,0.0,1144,10
145,Spinach Mozzarella Ravioli,39732.7,vegetable,236.588,141.75,210,6,3.0,30.0,3.0,7.0,3.0,260,160.0,HOMESTYLE,15.0,40.0,4.7,5.0,4.0,20.0,1145,10
146,Sriracha Sesame Bok Choy,123728,vegetable,236.588,113.4,25,2,0.0,2.0,1.0,1.0,1.0,150,220.0,HOMESTYLE,0.0,90.0,0.7,0.0,38.0,0.0,1146,10
147,Steamed Broccoli and Cauliflower,102775,vegetable,118.294,120.36,90,7,0.5,7.0,2.0,3.0,3.0,95,350.0,HOMESTYLE,0.0,40.0,0.7,0.0,78.0,0.0,1147,10
148,Steamed Corn Kernels,1120.3,vegetable,118.294,92.9,90,3,0.0,18.0,3.0,2.0,2.0,0,210.0,HOMESTYLE,0.0,0.0,0.4,0.0,3.0,0.0,1148,10
149,Steamed Green Beans,102964,grain,118.294,97.13,80,6,0.0,7.0,3.0,2.0,3.0,370,130.0,HOMESTYLE,0.0,40.0,0.6,0.0,9.0,0.0,1149,10
150,Thai Basil Tofu,49508,protein,177.441,159.08,190,9,1.0,18.0,8.0,13.0,3.0,470,270.0,HOMESTYLE,0.0,490.0,2.2,0.0,41.0,0.0,1150,10
151,Tuscan White Bean Stew,32393.1,protein,236.588,391.9,320,15,2.0,37.0,4.0,9.0,9.0,330,580.0,HOMESTYLE,0.0,170.0,3.6,0.0,28.0,15.0,1151,10
152,Vegan Mashed Sweet Potatoes,128686,grain,118.294,128.79,120,0,0.0,27.0,10.0,3.0,4.0,150,560.0,HOMESTYLE,0.0,50.0,0.9,0.0,22.0,0.0,1152,10
153,Warm Quinoa and Corn Salad,103446.1,vegetable,118.294,247.92,170,2,0.0,33.0,3.0,6.0,5.0,200,450.0,HOMESTYLE,0.0,50.0,2.1,0.0,12.0,70.0,1153,10
154,Black Barley Cilantro Tabouleh,24210.1,vegetable,118.294,113.65,110,2,0.0,19.0,1.0,3.0,5.0,55,180.0,ROOTED,0.0,20.0,1.0,0.0,4.0,0.0,1154,10
155,Blanched Lemon Spinach,101971,vegetable,118.294,48.35,10,0,0.0,2.0,0.0,1.0,1.0,220,260.0,ROOTED,0.0,50.0,1.3,0.0,16.0,0.0,1155,10
156,Cajun Lentil Stew,103377.1,vegetable,473.176,128.18,110,3.5,0.0,16.0,5.0,5.0,5.0,300,390.0,ROOTED,0.0,20.0,2.3,0.0,10.0,20.0,1156,10
157,Chipotle Pinto Beans,102498,protein,118.294,349.97,240,1.5,0.0,45.0,3.0,13.0,14.0,620,820.0,ROOTED,0.0,140.0,4.3,0.0,6.0,0.0,1157,10
158,Chorizo Tofu,76164.2,protein,236.588,113.4,110,7,1.0,5.0,1.0,10.0,2.0,510,240.0,ROOTED,0.0,430.0,7.7,0.0,1.0,0.0,1158,10
159,Cilantro Lime Brown Rice,102526,grain,118.294,177.91,220,1.5,0.0,45.0,0.0,5.0,3.0,10,160.0,ROOTED,0.0,10.0,1.0,0.0,1.0,0.0,1159,10
160,Creamy Polenta,117005,vegetable,118.294,205.32,210,10,6.0,24.0,0.0,4.0,1.0,470,60.0,ROOTED,30.0,80.0,1.3,0.0,0.0,10.0,1160,10
