,group,timestamp,name,items,week_num,items_recipe_num,pk,num_missing_Dish,num_bad_units,num_missing_FDA,bad_units
35,lunch,2022-03-14 11:00:00Z,"Lunch on Monday, March 14, 2022","[1264, 1261, 1285, 1239, 1245, 1268, 1300, 1299, 1225, 1222, 1210, 1082, 1093, 1457]",10,"['86422.3', '50894', '102616', '102690', '103731', '86904.2', '105460', '139413', '123763', '112288', '101498', '103731.2', '5326.1', '10514.9', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1035,29,1.0,28.0,['3 piece']
36,afterlunch,2022-03-15 14:30:00Z,"Afterlunch on Tuesday, March 15, 2022","[1192, 1198, 1199, 1201]",10,"['120206', '82157.15', '30876.8', '103749', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103643.1', '103329', '32830.2', '7857.2']",1036,13,4.0,9.0,"['1 slice', '1 slice', '1 slice', '1 each']"
37,breakfast,2022-03-15 07:30:00Z,"Breakfast on Tuesday, March 15, 2022","[1030, 1007, 1033, 1142, 1008, 1003]",10,"['2032.23', '17194.4', '4820.7', '122864', '114599', '138629', '29729.9', '139032', '128444']",1037,3,3.0,0.0,"['2 each', '2 each', '1 plate']"
38,dinner,2022-03-15 16:30:00Z,"Dinner on Tuesday, March 15, 2022","[1042, 1162, 1159, 1011, 1187, 1173, 1104, 1099, 1070, 1115, 1065, 1048, 1457]",10,"['48842', '23557', '102526', '12274.9', '102312', '105616', '68265', '76011.1', '12986.5', '62597', '102530', '43185.3', '102676', '35515.3', '87697', '28961.1', '2081', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103643.1', '103329', '32830.2', '7857.2', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1038,46,8.0,38.0,"['1 each', '1 each', '1 each', '1 serving(s)', '1 slice', '1 slice', '1 slice', '1 each']"
39,lunch,2022-03-15 11:00:00Z,"Lunch on Tuesday, March 15, 2022","[1247, 1271, 1288, 1282, 1291, 1309, 1209, 1229, 1234, 1115, 1065, 1457]",10,"['49443.5', '1354', '3407', '102520', '102356', '123906', '100715.1', '21775', '102764', '123177', '103446.3', '5721', '102676', '35515.3', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1039,31,3.0,28.0,"['1 each', '2 each', '1 oz portion']"
40,afterlunch,2022-03-16 14:30:00Z,"Afterlunch on Wednesday, March 16, 2022","[1203, 1194]",10,"['32415.4', '22637', '103920', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103574.1', '103616.1', '103580.1']",1040,13,4.0,9.0,"['1/2 sandwich', '1 slice', '1 slice', '1 piece']"
41,breakfast,2022-03-16 07:30:00Z,"Breakfast on Wednesday, March 16, 2022","[1030, 1036, 1026, 1001]",10,"['2032.23', '129558', '22593.7', '8735', '39880', '74516', '47130.6', '128444']",1041,4,4.0,0.0,"['2 each', '3 slice', '1 each', '1 plate']"
42,dinner,2022-03-16 16:30:00Z,"Dinner on Wednesday, March 16, 2022","[1161, 1124, 1138, 1134, 1131, 1184, 1185, 1054, 1101, 1029, 1073, 1095, 1044, 1457]",10,"['106574', '105613', '102422', '25735.9', '28644', '5864.1', '141713', '123726', '59000', '14935.35', '50923.10', '103816', '8621', '134987', '112583', '45178', '42392.8', '34113', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103574.1', '103616.1', '103580.1', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1042,45,7.0,38.0,"['1 each', '1 serving(s)', '1 each', '2 each', '1 slice', '1 slice', '1 piece']"
43,lunch,2022-03-16 11:00:00Z,"Lunch on Wednesday, March 16, 2022","[1255, 1262, 1287, 1253, 1258, 1252, 1213, 1214, 1232, 1205, 1095, 1457]",10,"['103924', '102094', '33225.1', '134325', '23463.4', '112154', '102994.15', '103607', '34595', '103448', '102743.2', '4792.1', '112583', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1043,30,2.0,28.0,"['1 each', '1 each']"
44,afterlunch,2022-03-17 14:30:00Z,"Afterlunch on Thursday, March 17, 2022","[1158, 1033]",10,"['120723', '103771', '114599', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103643.1', '103619.1', '103586.1', '106089.44']",1044,14,5.0,9.0,"['1 sandwich', '1 slice', '1 slice', '1 slice', '1/2 each']"
45,breakfast,2022-03-17 07:30:00Z,"Breakfast on Thursday, March 17, 2022","[1030, 1011, 1034, 1014, 1001]",10,"['2032.23', '105616', '142236', '57569', '1178.9', '103422', '47130.6', '128444']",1045,3,3.0,0.0,"['2 each', '2 slice', '1 plate']"
46,dinner,2022-03-17 16:30:00Z,"Dinner on Thursday, March 17, 2022","[1120, 1154, 1153, 1127, 1137, 1141, 1176, 1180, 1100, 1079, 1078, 1110, 1077, 1043, 1457]",10,"['102487.1', '21742', '82609.2', '105748', '103390', '61177', '135824', '28870', '75761.3', '27288', '117903.1', '5294.16', '35080.10', '111.1', '5541.16', '141888', '138956', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103643.1', '103619.1', '103586.1', '106089.44', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1046,44,7.0,37.0,"['1 serving(s)', '1 each', '1 each', '1 slice', '1 slice', '1 slice', '1/2 each']"
47,lunch,2022-03-17 11:00:00Z,"Lunch on Thursday, March 17, 2022","[1242, 1162, 1254, 1265, 1156, 1257, 1183, 1219, 1210, 1215, 1110, 1077, 1457]",10,"['106629', '12274.9', '19723.1', '102010', '22741.1', '18183.2', '144407', '103930', '130516', '102964', '105917', '103731.2', '61769.1', '35080.10', '111.1', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1047,31,2.0,28.0,"['4 each', '1 plate']"
48,afterlunch,2022-03-18 14:30:00Z,"Afterlunch on Friday, March 18, 2022",[],10,"['4451.23', '21182', '110034', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103630.1', '67979.3', '68050.7']",1048,15,6.0,9.0,"['1/2 sandwich', '1 each', '1 each', '1 slice', '1 slice', '1 slice']"
49,breakfast,2022-03-18 07:30:00Z,"Breakfast on Friday, March 18, 2022","[1030, 1039, 1027, 1024]",10,"['2032.23', '102750', '101631', '5828', '106424', '103955']",1049,2,2.0,0.0,"['2 half', '2 each']"
50,dinner,2022-03-18 16:30:00Z,"Dinner on Friday, March 18, 2022","[1158, 1029, 1171, 1112, 1026, 1056, 1085, 1046, 1457]",10,"['58134', '103771', '83580', '8621', '14450', '1261', '3368.6', '6951', '105264', '5802', '115088', '553.15', '74516', '55091', '34995', '3994.5', '765', '103635', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1050,47,6.0,41.0,"['1 serving(s)', '1 each', '2 wedge', '1/2 each', '1/2 each', '1 slice']"
51,lunch,2022-03-18 11:00:00Z,"Lunch on Friday, March 18, 2022","[1269, 1270, 1189, 1029, 1152, 1311, 1298, 1208, 1237, 1235, 1230, 1217, 1212, 1457]",10,"['5376', '6858', '103446.1', '8621', '8060.6', '102356', '48376.8', '103804', '5864.1', '47608.5', '47608.6', '103791', '49503.17', '5150.2', '74147.4', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1051,30,2.0,28.0,"['1 each', '1 each']"
52,afterlunch,2022-03-19 14:30:00Z,"Afterlunch on Saturday, March 19, 2022",[],10,"['102407', '44726.1', '82258.7', '14920', '103643.1', '103897', '102802']",1052,7,3.0,4.0,"['1 slice', '1 slice', '1 piece']"
53,breakfast,2022-03-19 07:30:00Z,"Breakfast on Saturday, March 19, 2022","[1030, 1021, 1029, 1006]",10,"['2032.23', '128116', '122864', '5496.3', '8621', '92347']",1053,2,2.0,0.0,"['1 each', '2 each']"
