group,timestamp,name,items,week_num,items_recipe_num,pk
afterlunch,2022-03-16 14:30:00Z,"Afterlunch on Wednesday, March 16, 2022","[1322, 1328, 1312, 1069, 1068, 1086]",10,"['32415.4', '22637', '103920', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103574.1', '103616.1', '103580.1']",1040
breakfast,2022-03-16 07:30:00Z,"Breakfast on Wednesday, March 16, 2022","[1047, 1055, 1057, 1024, 1041, 1002, 1000]",10,"['2032.23', '129558', '22593.7', '8735', '39880', '74516', '47130.6', '128444']",1041
dinner,2022-03-16 16:30:00Z,"Dinner on Wednesday, March 16, 2022","[1254, 1204, 1228, 1222, 1216, 1257, 1275, 1286, 1287, 1132, 1181, 1046, 1153, 1175, 1113, 1106, 1107, 1069, 1068, 1086, 1667]",10,"['106574', '105613', '102422', '25735.9', '28644', '5864.1', '141713', '123726', '59000', '14935.35', '50923.10', '103816', '8621', '134987', '112583', '45178', '42392.8', '34113', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103574.1', '103616.1', '103580.1', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1042
lunch,2022-03-16 11:00:00Z,"Lunch on Wednesday, March 16, 2022","[1383, 1390, 1422, 1381, 1386, 1448, 1434, 1380, 1338, 1339, 1358, 1330, 1175, 1667]",10,"['103924', '102094', '33225.1', '134325', '23463.4', '112154', '102994.15', '103607', '34595', '103448', '102743.2', '4792.1', '112583', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1043
afterlunch,2022-03-17 14:30:00Z,"Afterlunch on Thursday, March 17, 2022","[1317, 1249, 1052, 1074, 1073, 1087, 1070]",10,"['120723', '103771', '114599', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103643.1', '103619.1', '103586.1', '106089.44']",1044
breakfast,2022-03-17 07:30:00Z,"Breakfast on Thursday, March 17, 2022","[1047, 1020, 1051, 1012, 1053, 1025, 1002, 1000]",10,"['2032.23', '105616', '142236', '57569', '1178.9', '103422', '47130.6', '128444']",1045
dinner,2022-03-17 16:30:00Z,"Dinner on Thursday, March 17, 2022","[1200, 1245, 1244, 1211, 1226, 1231, 1262, 1274, 1281, 1180, 1159, 1158, 1190, 1157, 1099, 1112, 1105, 1074, 1073, 1087, 1070, 1667]",10,"['102487.1', '21742', '82609.2', '105748', '103390', '61177', '135824', '28870', '75761.3', '27288', '117903.1', '5294.16', '35080.10', '111.1', '5541.16', '141888', '138956', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103643.1', '103619.1', '103586.1', '106089.44', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1046
lunch,2022-03-17 11:00:00Z,"Lunch on Thursday, March 17, 2022","[1370, 1255, 1382, 1393, 1247, 1385, 1452, 1453, 1285, 1345, 1335, 1340, 1190, 1157, 1667]",10,"['106629', '12274.9', '19723.1', '102010', '22741.1', '18183.2', '144407', '103930', '130516', '102964', '105917', '103731.2', '61769.1', '35080.10', '111.1', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1047
afterlunch,2022-03-18 14:30:00Z,"Afterlunch on Friday, March 18, 2022","[1309, 1316, 1324, 1085, 1296, 1299]",10,"['4451.23', '21182', '110034', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103630.1', '67979.3', '68050.7']",1048
breakfast,2022-03-18 07:30:00Z,"Breakfast on Friday, March 18, 2022","[1047, 1062, 1016, 1058, 1042, 1039]",10,"['2032.23', '102750', '101631', '5828', '106424', '103955']",1049
dinner,2022-03-18 16:30:00Z,"Dinner on Friday, March 18, 2022","[1253, 1249, 1046, 1205, 1263, 1268, 1192, 1136, 1041, 1134, 1165, 1128, 1109, 1124, 1667]",10,"['58134', '103771', '83580', '8621', '14450', '1261', '3368.6', '6951', '105264', '5802', '115088', '553.15', '74516', '55091', '34995', '3994.5', '765', '103635', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1050
